id,title,release_year,vote_average,vote_count,popularity
360778,Female Ninjas Magic Chronicles 4: Rebel Forces at the Threshold,1994-03-24,3.3,3,206.638
1029281,Strange Darling,2024-08-22,7.0,176,260.977
558449,Gladiator II,2024-11-13,0.0,0,276.992
299536,Avengers: Infinity War,2018-04-25,8.243,29630,240.264
1012201,HAIKYU!! The Dumpster Battle,2024-02-16,7.1,108,259.767
346698,Barbie,2023-07-19,7.0,9052,245.302
646097,Rebel Ridge,2024-08-27,7.0,915,241.98
1241982,Moana 2,2024-11-27,0.0,0,268.372
1358947,The Most Wonderful Time of the Year,2024-10-11,5.6,17,250.299
671,Harry Potter and the Philosopher's Stone,2001-11-16,7.914,27283,235.718
901060,Seven Cemeteries,2024-10-11,5.1,6,251.662
1244880,Invasión,2024-06-28,7.0,2,246.617
385687,Fast X,2023-05-17,7.085,5535,245.903
974262,Descendants: The Rise of Red,2024-07-11,7.0,357,249.744
829557,365 Days: This Day,2022-04-26,5.871,1510,228.264
1337309,Bangkok Breaking: Heaven and Hell,2024-09-26,6.603,39,232.925
1216191,Oddity,2024-07-19,6.9,240,250.61
238,The Godfather,1972-03-14,8.691,20533,229.092
1160018,Kill,2024-07-03,7.157,223,241.252
4232,Scream,1996-12-20,7.423,6936,237.408
278,The Shawshank Redemption,1994-09-23,8.7,27039,233.532
1264429,Temurun,2024-05-30,6.5,12,233.977
569094,Spider-Man: Across the Spider-Verse,2023-05-31,8.4,6889,248.975
831815,Saving Bikini Bottom: The Sandy Cheeks Movie,2024-10-18,6.8,20,235.655
929590,Civil War,2024-04-10,6.9,2614,300.305
1210794,Trouble,2024-10-02,6.9,103,233.878
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,7.134,10550,223.192
667538,Transformers: Rise of the Beasts,2023-06-06,7.3,4560,213.19
1308821,Unang Tikim,2024-07-07,5.0,2,224.743
414906,The Batman,2022-03-01,7.7,10203,219.288
1186532,The Forge,2024-08-22,8.124,121,210.251
567811,10 Lives,2024-04-18,8.2,116,225.22
4247,Scary Movie,2000-07-07,6.356,6888,276.083
122917,The Hobbit: The Battle of the Five Armies,2014-12-10,7.3,14188,198.854
882598,Smile,2022-09-23,6.7,3130,229.704
